Season,Team,conference,PreRank,PostRank,Change,Status
2018,West Virginia,Big 12,17,20,-3,Properly Rated
2018,Wisconsin,Big Ten,4,,-31,Very Overrated
2019,Air Force,Mountain West,,22,13,Underrated
2019,Alabama,SEC,2,8,-6,Overrated
2019,Appalachian State,Sun Belt,,19,16,Underrated
2019,Auburn,SEC,16,14,2,Properly Rated
2019,Baylor,Big 12,,13,22,Very Underrated
2019,Boise State,Mountain West,,23,12,Underrated
2019,Cincinnati,American,,21,14,Underrated
2019,Clemson,ACC,1,2,-1,Properly Rated
2019,Florida,SEC,8,6,2,Properly Rated
2019,Georgia,SEC,3,4,-1,Properly Rated
2019,Iowa,Big Ten,20,15,5,Properly Rated
2019,Iowa State,Big 12,21,,-14,Overrated
2019,LSU,SEC,6,1,5,Properly Rated
2019,Memphis,American,,17,18,Underrated
2019,Michigan,Big Ten,7,18,-11,Overrated
2019,Michigan State,Big Ten,18,,-17,Overrated
2019,Minnesota,Big Ten,,10,25,Very Underrated
2019,Navy,American,,20,15,Underrated
2019,Nebraska,Big Ten,24,,-11,Overrated
2019,Notre Dame,Independent,9,12,-3,Properly Rated
2019,Ohio State,Big Ten,5,3,2,Properly Rated
2019,Oklahoma,Big 12,4,7,-3,Properly Rated
2019,Oregon,Pac-12,11,5,6,Underrated
2019,Penn State,Big Ten,15,9,6,Underrated
2019,Stanford,Pac-12,25,,-10,Overrated
2019,Syracuse,ACC,22,,-13,Overrated
2019,Texas,Big 12,10,25,-15,Overrated
2019,Texas A&M,SEC,12,,-23,Very Overrated
2019,UCF,American,17,24,-7,Overrated
2019,Utah,Pac-12,14,16,-2,Properly Rated
2019,Washington,Pac-12,13,,-22,Very Overrated
2019,Washington State,Pac-12,23,,-12,Overrated
2019,Wisconsin,Big Ten,19,11,8,Underrated
2020,Alabama,SEC,3,1,2,Properly Rated
2020,Auburn,SEC,11,,-24,Very Overrated
2020,BYU,Independent,,11,24,Very Underrated
2020,Ball State,MAC,,23,12,Underrated
2020,Buffalo,MAC,,25,10,Underrated
2020,Cincinnati,American,20,8,12,Underrated
2020,Clemson,ACC,1,3,-2,Properly Rated
2020,Coastal Carolina,Sun Belt,,14,21,Very Underrated
2020,Florida,SEC,8,13,-5,Properly Rated
2020,Georgia,SEC,4,7,-3,Properly Rated
2020,Indiana,Big Ten,,12,23,Very Underrated
2020,Iowa,Big Ten,24,16,8,Underrated
2020,Iowa State,Big 12,23,9,14,Underrated
2020,LSU,SEC,6,,-29,Very Overrated
2020,Liberty,Independent,,17,18,Underrated
